# 常州市新北区公交线路数据源（可直接被 build_data.c 读取）
# 格式：
# LINE: 线路号,起点站,终点站,总站数
# STOP: 站点序号,站点全称,纬度,经度
#
# 注意：
# 1) build_data.c 会按“LINE里总站数”严格读取后续 STOP 行数
# 2) 站点会按站名全局去重（同名站跨线路自动视为同一站，可换乘）
# 3) 经纬度会在 build_data.c 内映射为平面米坐标写入 bus_data.dat

LINE: 33,新北公交中心站[回车场],清凉新村南,42
STOP: 1,新北公交中心站[回车场],31.8017,119.9726
STOP: 2,江南五金机电城[东],31.8012,119.9768
STOP: 3,保纳商业广场,31.8007,119.9811
STOP: 4,汉江路晋陵北路,31.8002,119.9853
STOP: 5,汉江路庐山路,31.7997,119.9896
STOP: 6,新区公园北,31.7992,119.9938
STOP: 7,通江中路湘江路[新北时代东],31.7987,119.9981
STOP: 8,天安工业村,31.7975,120.0023
STOP: 9,河海路惠山路,31.7963,120.0066
STOP: 10,兰翔新村,31.7951,120.0108
STOP: 11,河海路晋陵北路,31.7939,120.0151
STOP: 12,河海路巫山路,31.7927,120.0193
STOP: 13,常工院新北校区,31.7915,120.0236
STOP: 14,巫山路太湖中路,31.7889,120.0239
STOP: 15,常州创意产业园,31.7863,120.0242
STOP: 16,太湖中路通江中路(BRT),31.7837,120.0245
STOP: 17,太湖中路衡山路,31.7832,120.0298
STOP: 18,太湖中路华山路,31.7827,120.0350
STOP: 19,太湖中路泰山路,31.7822,120.0403
STOP: 20,太湖中路秦岭路,31.7817,120.0455
STOP: 21,太湖中路昆仑路,31.7812,120.0508
STOP: 22,太湖中路玉龙路,31.7807,120.0560
STOP: 23,玉龙路太湖中路,31.7839,120.0565
STOP: 24,玉龙路飞龙中路,31.7871,120.0570
STOP: 25,飞龙中路玉龙路,31.7876,120.0612
STOP: 26,飞龙中路长江北路,31.7881,120.0655
STOP: 27,长江北路飞龙中路,31.7850,120.0660
STOP: 28,长江北路汉江中路,31.7819,120.0665
STOP: 29,长江北路红河路[高新区人力资源市场],31.7788,120.0670
STOP: 30,新北区政务服务中心北,31.7757,120.0675
STOP: 31,新北区政府,31.7726,120.0680
STOP: 32,新北区政府南,31.7695,120.0685
STOP: 33,通江中路黄河路(BRT),31.7689,120.0592
STOP: 34,通江中路汉江中路(BRT),31.7732,120.0500
STOP: 35,通江中路巢湖路,31.7775,120.0407
STOP: 36,通江中路太湖中路(BRT),31.7818,120.0315
STOP: 37,三井桥,31.7851,120.0222
STOP: 38,龙锦路竹山路,31.7879,120.0165
STOP: 39,龙锦路天目山路,31.7907,120.0108
STOP: 40,龙锦路惠国路,31.7935,120.0051
STOP: 41,龙锦路晋陵北路,31.7963,119.9994
STOP: 42,清凉新村南,31.7686,119.9789

LINE: B10,常州北站[回车场],常州客运中心[下客站],29
STOP: 1,常州北站[回车场],31.8529,120.0017
STOP: 2,乐山路辽河路,31.8506,120.0059
STOP: 3,地铁新桥站[东],31.8483,120.0101
STOP: 4,新北区政府南,31.7721,120.0692
