
LINE: 10,花园街广电路,永宁北路公交,32
STOP: 1,花园街广电路,31.714366,119.953479
STOP: 2,中壮新村,31.719736,119.950419
STOP: 3,定安路和平路(湖塘乐购),31.719263,119.954277
STOP: 4,和平路古方路(省武高),31.723347,119.957397
STOP: 5,武进建行(和平路人民路),31.726589,119.957274
STOP: 6,阳湖综合市场,31.727592,119.960329
STOP: 7,人民路降子路,31.719461,119.964389
STOP: 8,人民路星火路,31.719843,119.968507
STOP: 9,人民路火炬路,31.716354,119.972262
STOP: 10,丽华路人民路,31.725161,119.978828
STOP: 11,丽华南村,31.730739,119.979383
STOP: 12,阳湖大桥南,31.731985,119.978616
STOP: 13,城巷(丽华北路),31.741051,119.977821
STOP: 14,丽华路离宫路,31.745409,119.975181
STOP: 15,丽华路中吴大道(丽华一村),31.747882,119.985763
STOP: 16,丽华北站,31.750544,119.977781
STOP: 17,丽华路光华路,31.757383,119.972344
STOP: 18,丽华路劳动路(朝阳新村),31.764278,119.974947
STOP: 19,五角场新村,31.767947,119.983431
STOP: 20,红梅新村(九龙小商品市场),31.779472,119.984828
STOP: 21,红梅文化站,31.780109,119.987816
STOP: 22,红梅东村,31.782604,119.989786
STOP: 23,飞龙路竹林路,31.786003,119.987420
STOP: 24,红星美凯龙,31.788829,119.988936
STOP: 25,飞龙路新堂路(北环新村),31.789855,119.979302
STOP: 26,永宁路飞龙路(永宁花园),31.791374,119.977754
STOP: 27,翠竹西站,31.794062,119.978882
STOP: 28,翠竹新村,31.795690,119.982947
STOP: 29,翠竹东站,31.796664,119.984705
STOP: 30,永宁路龙城大道,31.833073,119.908714
STOP: 31,永宁雅苑,31.799875,119.992332
STOP: 32,永宁北路公交,31.801083,119.994909

LINE: 110,戚墅堰公交中心站,戚墅堰街,11
STOP: 1,戚墅堰公交中心站,31.717162,120.073570
STOP: 2,汇龙湾家园,31.719787,120.070391
STOP: 3,戚墅堰,31.720945,120.066694
STOP: 4,圩墩新村,31.714804,120.064762
STOP: 5,圩墩公园南,31.716625,120.055575
STOP: 6,观庄,31.720005,120.048792
STOP: 7,河苑家园南,31.721811,120.049752
STOP: 8,河苑新村,31.721594,120.052539
STOP: 9,河苑东村,31.720131,120.056360
STOP: 10,圩墩公园,31.719183,120.059282
STOP: 11,戚墅堰街,31.716688,120.073462

LINE: 1111,飞龙首末站,青龙公交,30
STOP: 1,飞龙首末站,31.817296,119.926276
STOP: 2,天山花园,31.811897,119.927587
STOP: 3,飞龙实验学校,31.815291,119.929957
STOP: 4,绿都万和城五区,31.819342,119.933657
STOP: 5,绿都万和城三区,31.816808,119.934676
STOP: 6,飞龙路天山路,31.830181,119.942514
STOP: 7,飞龙公园,31.812595,119.940094
STOP: 8,飞龙路长江路,31.788979,119.931549
STOP: 9,飞龙路华山路,31.806000,119.945025
STOP: 10,飞龙路泰山路(金梅花园),31.824535,119.961847
STOP: 11,飞龙路通江路西,31.802220,119.962097
STOP: 12,飞龙路通江路,31.826590,119.974838
STOP: 13,锦绣花园,31.800643,119.966725
STOP: 14,飞龙路晋陵路(聚博花园),31.793733,119.968661
STOP: 15,飞龙路永宁路(永宁花园),31.791480,119.971185
STOP: 16,新堂路飞龙路(北环新村),31.791374,119.977754
STOP: 17,常州客运中心东,31.784466,119.977646
STOP: 18,红梅街道,31.790784,119.979812
STOP: 19,竹林菜场(竹林路飞龙路),31.316537,119.425015
STOP: 20,竹林路庙湾路,31.785955,119.988411
STOP: 21,交通信息大厦,31.784865,119.991703
STOP: 22,竹林北路公交站,31.786003,119.987420
STOP: 23,天宁区法院(天宁区检察院),31.789885,119.997138
STOP: 24,天宁行政服务中心,31.791277,120.000496
STOP: 25,竹林路龙锦路(天宁区公安局),31.792445,120.002144
STOP: 26,紫荆公园,31.791242,120.006087
STOP: 27,竹林路紫林路,31.789052,120.005607
STOP: 28,青龙苑,31.792020,120.016314
STOP: 29,竹林路青洋路,31.797889,120.022066
STOP: 30,青龙公交,31.786799,120.017967

LINE: 111,新北公交中心站,奔牛公交枢,42
STOP: 1,新北公交中心站,31.839480,119.988130
STOP: 2,江南五金机电城东,31.521321,120.066819
STOP: 3,保纳商业广场,31.833121,119.988380
STOP: 4,汉江路庐山路,31.830237,119.983032
STOP: 5,汉江路通江路(凤凰大酒店),31.826590,119.974838
STOP: 6,新北区政府,31.863770,119.962297
STOP: 7,衡山路珠江路(常州政务服务中心),31.823675,119.984221
STOP: 8,河海路泰山路,31.824535,119.961847
STOP: 9,南博湾,31.822810,119.959358
STOP: 10,泰山路太湖路,31.815636,119.980804
STOP: 11,三井西桥,31.815606,119.957964
STOP: 12,泰山路龙城大道,31.833073,119.908714
STOP: 13,飞龙路泰山路(金梅花园),31.824535,119.961847
STOP: 14,飞龙路华山路,31.806000,119.945025
STOP: 15,飞龙路长江路,31.788979,119.931549
STOP: 16,飞龙公园,31.812595,119.940094
STOP: 17,飞龙路天山路,31.830181,119.942514
STOP: 18,飞龙公交枢纽北,31.830837,119.938671
STOP: 19,飞龙路龙江路,31.795297,119.910157
STOP: 20,飞龙路新裕路,31.820642,119.922239
STOP: 21,飞龙路新康路,31.821583,119.915183
STOP: 22,飞龙路新庆路,31.819886,119.908918
STOP: 23,新闸花苑,31.826513,119.907386
STOP: 24,新闸综合市场,31.814883,119.901500
STOP: 25,玉荷桥,31.822714,119.903801
STOP: 26,玉龙路新昌路,31.812471,119.907968
STOP: 27,新闸,31.814883,119.901500
STOP: 28,新闸西,31.814154,119.892899
STOP: 29,东窑沟桥,31.817226,119.887364
STOP: 30,电修厂,31.820520,119.881398
STOP: 31,连江桥,31.825042,119.873592
STOP: 32,黄泥河桥,31.829856,119.864673
STOP: 33,丁家,31.629670,119.651157
STOP: 34,东沙河桥,31.838235,119.849404
STOP: 35,叶家码头,31.842178,119.842468
STOP: 36,西沙河桥,31.846357,119.834666
STOP: 37,金牛路迎宾路,31.847017,119.821464
STOP: 38,奔牛土管所,31.846350,119.823507
STOP: 39,奔牛镇镇府,31.848259,119.818248
STOP: 40,奔牛医院,31.847452,119.816174
STOP: 41,奔牛南,31.842001,119.814108
STOP: 42,奔牛公交枢,31.848259,119.818248

LINE: 11,红梅公交中心站,龙虎塘公交枢,25
STOP: 1,红梅公交中心站,31.773971,119.971675
STOP: 2,天宁寺,31.772807,119.968238
STOP: 3,延陵路和平路,31.774856,119.964077
STOP: 4,明都大饭店,31.779974,119.965943
STOP: 5,小东门商城北,31.771102,119.981757
STOP: 6,红梅街道,31.790784,119.979812
STOP: 7,飞龙路竹林路,31.786003,119.987420
STOP: 8,红星美凯龙,31.788829,119.988936
STOP: 9,飞龙路新堂路,31.789855,119.979302
STOP: 10,飞龙路永宁路,31.791480,119.971185
STOP: 11,飞龙路晋陵路,31.793733,119.968661
STOP: 12,锦绣花园,31.800643,119.966725
STOP: 13,飞龙路通江路,31.826590,119.974838
STOP: 14,金百国际,31.802008,119.961542
STOP: 15,民航服务中心,31.806869,119.964023
STOP: 16,通江路龙城大道,31.833073,119.908714
STOP: 17,三井,31.818140,119.976141
STOP: 18,通江路巢湖路(太阳城铜锣湾),31.821880,119.960776
STOP: 19,通江路河海路,31.822189,119.970488
STOP: 20,天安工业村,31.825505,119.973443
STOP: 21,凤凰大酒店(西),31.578175,119.910856
STOP: 22,锦江国际大酒店,31.834835,119.979770
STOP: 23,月星家居东,31.840065,119.981712
STOP: 24,龙虎塘东,31.844862,119.988525
STOP: 25,龙虎塘公交枢,31.846262,119.991002

LINE: 1211,郑陆农场,常州客运中心,50
STOP: 1,郑陆农场,31.856930,120.126846
STOP: 2,西农场,31.854936,120.128411
STOP: 3,东农场,31.854081,120.132916
STOP: 4,新沟桥,32.005768,119.873875
STOP: 5,新沟桥南,31.845448,120.131414
STOP: 6,潘家村,31.769509,119.972641
STOP: 7,袁家村,31.761688,119.940692
STOP: 8,油车桥,31.836431,120.129822
STOP: 9,袁家村南,31.833947,120.130278
STOP: 10,牟家村委,31.832375,120.130502
STOP: 11,三河口村委,31.809690,120.135370
STOP: 12,三河口广场,31.826337,120.131471
STOP: 13,三河口人民桥,31.824275,120.131827
STOP: 14,三河口中学,31.819401,120.132628
STOP: 15,冯家村,31.751421,119.933382
STOP: 16,东姚北,31.814718,120.133546
STOP: 17,东姚中,31.812148,120.134036
STOP: 18,东姚,31.809690,120.135370
STOP: 19,东姚南,31.805911,120.133737
STOP: 20,施家尖,31.803729,120.129739
STOP: 21,蔡岐村,31.801115,120.125736
STOP: 22,蔡岐村西,31.799468,120.122497
STOP: 23,南王村,31.798255,120.119514
STOP: 24,丰北村东,31.798060,120.116641
STOP: 25,丰北街,31.797500,120.113065
STOP: 26,观岸桥,31.789351,120.115126
STOP: 27,五一村北,31.787506,120.116676
STOP: 28,奚巷,31.782132,120.106909
STOP: 29,西连头,31.787826,120.096183
STOP: 30,周塘桥,31.785738,120.086986
STOP: 31,花苑,31.782886,120.091899
STOP: 32,白茅,31.787564,120.070454
STOP: 33,东青医院,31.789436,120.061064
STOP: 34,东青西站,31.791686,120.057985
STOP: 35,天主堂,31.788834,120.062898
STOP: 36,史家桥,31.651565,119.478547
STOP: 37,史家桥西,31.792128,120.031807
STOP: 38,青龙路华阳路(飞牛纺织),31.797497,120.027510
STOP: 39,美吉特科技五金城,31.790357,120.023725
STOP: 40,青龙,31.786799,120.017967
STOP: 41,高士桥,31.787914,120.017635
STOP: 42,三里庵,31.778992,119.999226
STOP: 43,物流公司,31.776140,120.004139
STOP: 44,九龙小商品市场,32.027940,119.854130
STOP: 45,红梅文化站,31.780109,119.987816
STOP: 46,红梅东村,31.782604,119.989786
STOP: 47,飞龙路竹林路,31.786003,119.987420
STOP: 48,红星美凯龙,31.788829,119.988936
STOP: 49,新堂路飞龙路(北环新村),31.791374,119.977754
STOP: 50,常州客运中心,31.786615,119.972559
STOP: 50,常州客运中心,31.786615,119.972559
